Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-02,@,BOS,"W, 7-6",38,35,7,8,4,0,0,4,7,0,0,3,5,0.229,0.289,0.571,0.861,20,2,0,0,0,0,
2,BOS,2025-06-02,,LAA,"L, 6-7",41,38,6,11,5,5,0,1,6,0,0,3,10,0.289,0.341,0.5,0.841,19,0,0,0,0,0,
3,CHW,2025-06-02,,DET,"L, 1-13",33,30,1,5,3,2,0,0,1,0,0,2,5,0.167,0.242,0.233,0.476,7,2,1,0,0,0,
4,CIN,2025-06-02,,MIL,"L, 2-3",36,34,2,8,7,1,0,0,2,0,0,2,11,0.235,0.278,0.265,0.542,9,1,0,0,0,0,
5,COL,2025-06-02,@,MIA,"W, 6-4",39,38,6,12,7,3,0,2,6,0,1,1,9,0.316,0.333,0.553,0.886,21,0,0,0,0,0,
6,DET,2025-06-02,@,CHW,"W, 13-1",46,42,13,16,8,2,1,5,13,1,0,4,7,0.381,0.435,0.833,1.268,35,0,0,0,0,0,
7,MIA,2025-06-02,,COL,"L, 4-6",40,37,4,11,5,6,0,0,4,0,0,2,8,0.297,0.325,0.459,0.784,17,1,0,0,1,0,
8,LAD,2025-06-02,,NYM,"L, 3-4 (10)",43,38,3,9,8,0,0,1,3,2,0,4,10,0.237,0.302,0.316,0.618,12,1,0,0,1,0,
9,MIL,2025-06-02,@,CIN,"W, 3-2",34,30,3,5,3,1,0,1,3,0,0,3,7,0.167,0.235,0.3,0.535,9,0,0,0,1,0,
10,MIN,2025-06-02,@,ATH,"W, 10-4",47,40,10,14,10,4,0,0,10,1,0,5,5,0.35,0.426,0.45,0.876,18,0,1,0,1,0,
11,NYM,2025-06-02,@,LAD,"W, 4-3 (10)",41,37,4,8,4,3,0,1,4,1,0,3,8,0.216,0.293,0.378,0.671,14,1,1,0,0,1,
12,ATH,2025-06-02,,MIN,"L, 4-10",40,32,4,7,4,2,0,1,4,2,0,6,9,0.219,0.375,0.375,0.75,12,1,2,0,0,0,
13,SDP,2025-06-02,@,SFG,"W, 1-0 (10)",36,33,1,6,4,2,0,0,1,0,1,0,9,0.182,0.2,0.242,0.442,8,0,1,1,1,0,
14,SFG,2025-06-02,,SDP,"L, 0-1 (10)",41,32,0,5,5,0,0,0,0,2,0,6,10,0.156,0.325,0.156,0.481,5,2,2,1,0,1,
15,LAA,2025-06-01,@,CLE,"L, 2-4",34,30,2,3,3,0,0,0,2,0,0,3,11,0.1,0.206,0.1,0.306,3,1,1,0,0,0,
16,ARI,2025-06-01,,WSN,"W, 3-1",32,28,3,3,1,1,0,1,3,0,0,4,5,0.107,0.219,0.25,0.469,7,0,0,0,0,0,
