Rk,Team,Date,Unnamed: 3,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR
1,LAA,2025-06-02,@,BOS,"W, 7-6",9.0,11,6,6,0,1,3,0,10,0,0,1,41,14
2,BOS,2025-06-02,,LAA,"L, 6-7",9.0,8,7,6,1,4,3,0,5,0,0,0,38,13
3,CHW,2025-06-02,,DET,"L, 1-13",9.0,16,13,13,0,5,4,0,7,0,0,0,46,20
4,CIN,2025-06-02,,MIL,"L, 2-3",9.0,5,3,3,0,1,3,0,7,0,0,0,34,8
5,COL,2025-06-02,@,MIA,"W, 6-4",9.0,11,4,3,1,0,2,0,8,0,0,0,40,14
6,DET,2025-06-02,@,CHW,"W, 13-1",9.0,5,1,1,0,0,2,0,5,1,0,0,33,8
7,MIA,2025-06-02,,COL,"L, 4-6",9.0,12,6,5,1,2,1,0,9,0,0,0,39,13
8,LAD,2025-06-02,,NYM,"L, 3-4 (10)",10.0,8,4,3,1,1,3,1,8,1,0,0,41,12
9,MIL,2025-06-02,@,CIN,"W, 3-2",9.0,8,2,2,0,0,2,0,11,0,0,0,36,10
10,MIN,2025-06-02,@,ATH,"W, 10-4",9.0,7,4,4,0,1,6,0,9,2,0,0,40,15
11,NYM,2025-06-02,@,LAD,"W, 4-3 (10)",10.0,9,3,2,1,1,4,0,10,0,0,0,43,14
12,ATH,2025-06-02,,MIN,"L, 4-10",9.0,14,10,10,0,0,5,0,5,1,0,1,47,20
13,SDP,2025-06-02,@,SFG,"W, 1-0 (10)",10.0,5,0,0,0,0,6,1,10,2,0,1,41,13
14,SFG,2025-06-02,,SDP,"L, 0-1 (10)",10.0,6,1,0,1,0,0,0,9,1,0,0,36,7
15,LAA,2025-06-01,@,CLE,"L, 2-4",8.0,6,4,4,0,1,5,0,7,1,0,1,36,13
16,ARI,2025-06-01,,WSN,"W, 3-1",9.0,6,1,1,0,0,3,0,13,0,0,0,36,9
17,ATL,2025-06-01,,BOS,"L, 1-3",9.0,7,3,3,0,0,3,0,12,0,0,0,37,10
18,BAL,2025-06-01,,CHW,"W, 3-2",9.0,7,2,1,1,1,1,0,9,0,1,1,36,9
19,BOS,2025-06-01,@,ATL,"W, 3-1",9.0,5,1,1,0,1,3,0,14,0,0,0,35,8
20,CHC,2025-06-01,,CIN,"W, 7-3",9.0,4,3,3,0,1,2,0,6,0,0,0,33,6
21,CHW,2025-06-01,@,BAL,"L, 2-3",8.0,8,3,3,0,0,1,0,8,0,0,0,32,9
22,CIN,2025-06-01,@,CHC,"L, 3-7",8.0,10,7,5,2,1,3,1,6,1,0,0,38,16
23,CLE,2025-06-01,,LAA,"W, 4-2",9.0,3,2,0,2,0,3,0,11,1,0,0,34,8
24,COL,2025-06-01,@,NYM,"L, 3-5",8.0,5,5,5,0,3,2,0,11,1,0,0,32,8
25,DET,2025-06-01,@,KCR,"W, 1-0",9.0,9,0,0,0,0,1,0,4,0,0,0,35,10
26,MIA,2025-06-01,,SFG,"L, 2-4",9.0,8,4,4,0,1,4,0,8,0,0,0,37,12
27,HOU,2025-06-01,,TBR,"W, 1-0",9.0,2,0,0,0,0,5,0,9,0,0,0,32,7
28,KCR,2025-06-01,,DET,"L, 0-1",9.0,5,1,1,0,0,3,0,10,0,0,1,34,8
29,LAD,2025-06-01,,NYY,"L, 3-7",9.0,11,7,7,0,1,7,0,11,2,0,1,46,20
30,MIL,2025-06-01,@,PHI,"W, 5-2",9.0,6,2,2,0,0,4,0,5,0,0,0,37,10
31,MIN,2025-06-01,@,SEA,"L, 1-2",8.1,6,2,2,0,1,1,0,11,0,0,0,32,7
32,NYM,2025-06-01,,COL,"W, 5-3",9.0,5,3,3,0,2,0,0,8,1,0,1,32,6
33,NYY,2025-06-01,@,LAD,"W, 7-3",9.0,6,3,3,0,3,0,0,10,0,0,0,32,6
34,ATH,2025-06-01,@,TOR,"L, 4-8",8.0,13,8,7,1,1,1,0,6,1,0,0,39,15
35,PHI,2025-06-01,,MIL,"L, 2-5",9.0,9,5,2,3,0,2,0,5,1,0,0,38,13
36,PIT,2025-06-01,@,SDP,"L, 4-6",8.0,8,6,6,0,1,4,0,6,0,0,0,36,12
37,SDP,2025-06-01,,PIT,"W, 6-4",9.0,7,4,4,0,2,4,0,10,0,0,0,37,11
38,SEA,2025-06-01,,MIN,"W, 2-1",9.0,6,1,1,0,0,3,0,9,1,0,1,36,10
39,SFG,2025-06-01,@,MIA,"W, 4-2",9.0,9,2,2,0,0,5,0,9,0,1,0,40,14
40,STL,2025-06-01,@,TEX,"L, 1-8",8.0,9,8,4,4,1,5,0,6,0,0,1,38,14
41,TBR,2025-06-01,@,HOU,"L, 0-1",8.0,4,1,0,1,0,3,0,11,0,0,0,32,8
42,TEX,2025-06-01,,STL,"W, 8-1",9.0,5,1,1,0,0,3,0,6,0,0,0,34,9
43,TOR,2025-06-01,,ATH,"W, 8-4",9.0,11,4,4,0,0,3,0,14,1,0,1,42,15
44,WSN,2025-06-01,@,ARI,"L, 1-3",8.0,3,3,3,0,1,4,0,5,0,0,0,32,7
45,LAA,2025-05-31,@,CLE,"L, 5-7",8.0,11,7,7,0,3,3,2,6,1,0,0,40,16
46,ARI,2025-05-31,,WSN,"L, 7-11",9.0,13,11,11,0,0,3,0,5,5,0,0,47,21
47,ATL,2025-05-31,,BOS,"W, 5-0",9.0,5,0,0,0,0,0,0,14,0,0,0,32,5
48,BAL,2025-05-31,,CHW,"W, 4-2",9.0,8,2,2,0,0,6,0,11,0,0,1,41,14
49,BOS,2025-05-31,@,ATL,"L, 0-5",8.0,11,5,5,0,2,2,0,9,0,0,1,36,13
50,CHC,2025-05-31,,CIN,"W, 2-0",9.0,1,0,0,0,0,1,0,11,0,0,0,29,2
51,CHW,2025-05-31,@,BAL,"L, 2-4",8.0,5,4,4,0,2,3,0,4,0,0,0,31,8
52,CIN,2025-05-31,@,CHC,"L, 0-2",8.0,8,2,2,0,0,5,0,8,1,0,0,34,14
53,CLE,2025-05-31,,LAA,"W, 7-5",9.0,8,5,5,0,3,4,0,9,0,0,0,38,12
54,COL,2025-05-31,@,NYM,"L, 2-8",8.0,11,8,8,0,3,4,0,7,0,0,1,38,16
55,DET,2025-05-31,@,KCR,"L, 0-1",8.0,4,1,1,0,0,0,0,7,0,0,0,27,4
56,MIA,2025-05-31,,SFG,"W, 1-0",9.0,8,0,0,0,0,4,0,8,1,0,0,38,14
57,HOU,2025-05-31,,TBR,"L, 3-16",9.0,18,16,16,0,5,4,1,12,0,0,1,48,22
58,KCR,2025-05-31,,DET,"W, 1-0",9.0,2,0,0,0,0,2,0,8,0,0,0,31,4
59,LAD,2025-05-31,,NYY,"W, 18-2",9.0,7,2,2,0,2,4,0,9,0,0,0,35,11
60,MIL,2025-05-31,@,PHI,"W, 17-7",9.0,10,7,7,0,2,0,0,8,0,0,0,37,10
61,MIN,2025-05-31,@,SEA,"L, 4-5 (11)",10.1,10,5,4,1,2,3,1,9,0,0,0,44,13
62,NYM,2025-05-31,,COL,"W, 8-2",9.0,3,2,2,0,1,4,0,9,0,0,0,33,7
63,NYY,2025-05-31,@,LAD,"L, 2-18",8.0,21,18,18,0,5,7,0,5,0,0,0,51,28
64,ATH,2025-05-31,@,TOR,"L, 7-8",8.0,10,8,8,0,4,2,0,2,0,0,1,33,12
65,PHI,2025-05-31,,MIL,"L, 7-17",9.0,23,17,17,0,3,3,0,7,0,1,0,51,26
66,PIT,2025-05-31,@,SDP,"W, 5-0",9.0,2,0,0,0,0,3,0,4,0,0,0,30,5
67,SDP,2025-05-31,,PIT,"L, 0-5",9.0,12,5,5,0,1,2,0,10,1,0,0,41,15
68,SEA,2025-05-31,,MIN,"W, 5-4 (11)",11.0,12,4,3,1,1,3,0,11,3,0,0,48,18
69,SFG,2025-05-31,@,MIA,"L, 0-1",8.0,3,1,1,0,0,3,0,9,0,0,1,28,6
70,STL,2025-05-31,@,TEX,"W, 2-0",9.0,4,0,0,0,0,2,0,12,0,0,0,31,6
71,TBR,2025-05-31,@,HOU,"W, 16-3",9.0,10,3,3,0,2,1,0,6,1,0,0,37,12
72,TEX,2025-05-31,,STL,"L, 0-2",9.0,5,2,2,0,0,4,0,5,0,0,1,36,9
73,TOR,2025-05-31,,ATH,"W, 8-7",9.0,11,7,7,0,3,5,0,7,0,0,0,41,16
74,WSN,2025-05-31,@,ARI,"W, 11-7",9.0,10,7,7,0,2,3,0,6,1,0,0,39,14
75,LAA,2025-05-30,@,CLE,"W, 4-1",9.0,6,1,1,0,0,7,0,5,0,0,0,37,13
76,ARI,2025-05-30,,WSN,"L, 7-9",9.0,11,9,7,2,2,6,0,8,0,0,0,43,17
77,ATL,2025-05-30,,BOS,"L, 1-5",9.0,11,5,5,0,1,2,0,14,0,0,0,40,13
78,BAL,2025-05-30,,CHW,"W, 2-1",9.0,6,1,1,0,0,2,0,9,0,0,0,33,8
79,BOS,2025-05-30,@,ATL,"W, 5-1",9.0,6,1,1,0,0,3,0,8,1,0,0,37,10
80,CHC,2025-05-30,,CIN,"L, 2-6",9.0,10,6,6,0,3,4,0,7,0,0,0,38,14
81,CHW,2025-05-30,@,BAL,"L, 1-2",8.0,7,2,2,0,0,1,0,8,1,0,0,32,9
82,CIN,2025-05-30,@,CHC,"W, 6-2",9.0,6,2,2,0,0,2,0,9,0,0,0,34,8
83,CLE,2025-05-30,,LAA,"L, 1-4",9.0,13,4,4,0,1,4,0,10,0,0,0,42,17
84,COL,2025-05-30,@,NYM,"L, 2-4",8.0,9,4,4,0,3,0,0,5,0,0,0,31,9
85,DET,2025-05-30,@,KCR,"W, 7-5",9.0,12,5,5,0,1,5,1,10,0,0,0,43,17
86,MIA,2025-05-30,,SFG,"L, 0-2",9.0,11,2,2,0,1,1,0,12,1,0,0,39,13
87,HOU,2025-05-30,,TBR,"W, 2-1",9.0,3,1,1,0,1,1,0,9,0,0,1,29,4
88,KCR,2025-05-30,,DET,"L, 5-7",9.0,11,7,7,0,3,3,0,12,0,0,1,41,15
89,LAD,2025-05-30,,NYY,"W, 8-5",9.0,9,5,5,0,4,4,0,6,1,0,0,40,14
90,MIL,2025-05-30,@,PHI,"W, 6-2",9.0,4,2,2,0,1,1,0,4,0,0,0,32,5
91,MIN,2025-05-30,@,SEA,"W, 12-6 (10)",10.0,9,6,6,0,3,1,0,8,0,0,0,39,10
92,NYM,2025-05-30,,COL,"W, 4-2",9.0,6,2,2,0,1,1,0,11,1,0,0,35,8
93,NYY,2025-05-30,@,LAD,"L, 5-8",8.0,12,8,8,0,2,2,1,4,0,1,0,37,15
94,ATH,2025-05-30,@,TOR,"L, 7-11",8.0,15,11,11,0,2,11,1,4,0,0,0,49,26
95,PHI,2025-05-30,,MIL,"L, 2-6",9.0,12,6,6,0,2,4,0,13,0,0,0,43,16
96,PIT,2025-05-30,@,SDP,"L, 2-3",8.0,3,3,3,0,0,2,0,3,0,0,0,29,5
97,SDP,2025-05-30,,PIT,"W, 3-2",9.0,7,2,2,0,0,2,0,14,0,0,0,35,9
98,SEA,2025-05-30,,MIN,"L, 6-12 (10)",10.0,14,12,11,1,4,4,0,7,0,0,1,48,18
99,SFG,2025-05-30,@,MIA,"W, 2-0",9.0,3,0,0,0,0,7,0,11,1,0,1,37,11
100,STL,2025-05-30,@,TEX,"L, 1-11",8.0,15,11,10,1,2,3,0,7,1,0,1,42,20
101,TBR,2025-05-30,@,HOU,"L, 1-2",8.2,7,2,2,0,1,1,0,8,0,0,0,32,8
102,TEX,2025-05-30,,STL,"W, 11-1",9.0,5,1,1,0,0,2,0,10,1,0,3,34,8
103,TOR,2025-05-30,,ATH,"W, 11-7",9.0,10,7,7,0,2,4,0,8,1,0,0,38,15
104,WSN,2025-05-30,@,ARI,"W, 9-7",9.0,12,7,7,0,0,3,0,5,1,0,0,40,16
105,ATL,2025-05-29 (2),@,PHI,"W, 9-3",9.0,7,3,3,0,0,4,0,12,1,0,0,39,12
106,PHI,2025-05-29 (2),,ATL,"L, 3-9",9.0,8,9,9,0,2,8,0,7,0,0,0,43,16
107,ATL,2025-05-29 (1),@,PHI,"L, 4-5",8.0,10,5,4,1,2,4,0,7,2,0,0,38,16
108,PHI,2025-05-29 (1),,ATL,"W, 5-4",9.0,13,4,4,0,1,5,0,8,0,0,0,42,18
109,HOU,2025-05-29,,TBR,"L, 3-13",9.0,14,13,13,0,1,6,0,11,3,0,3,50,23
110,ATH,2025-05-29,@,TOR,"L, 0-12",8.0,18,12,12,0,4,5,0,3,0,0,0,47,23
111,SEA,2025-05-29,,WSN,"L, 3-9 (10)",10.0,12,9,7,2,1,4,1,8,0,0,1,44,16
112,TBR,2025-05-29,@,HOU,"W, 13-3",9.0,8,3,3,0,2,0,0,7,0,0,0,35,9
113,TOR,2025-05-29,,ATH,"W, 12-0",9.0,4,0,0,0,0,2,0,13,0,0,0,32,6
114,WSN,2025-05-29,@,SEA,"W, 9-3 (10)",10.0,7,3,2,1,0,3,0,11,2,0,2,40,12
115,LAA,2025-05-28,,NYY,"L, 0-1",9.0,7,1,1,0,0,5,2,13,0,0,0,38,12
116,ARI,2025-05-28,,PIT,"L, 1-10",9.0,11,10,9,1,1,3,0,9,0,0,0,42,15
117,BAL,2025-05-28,,STL,"L, 4-6",9.0,12,6,6,0,1,5,0,16,0,0,1,43,17
118,BOS,2025-05-28,@,MIL,"L, 5-6 (10)",9.1,8,6,3,3,1,5,1,5,0,0,0,43,14
119,CHC,2025-05-28,,COL,"W, 2-1",9.0,6,1,0,1,0,0,0,11,0,0,0,31,6
120,CHW,2025-05-28,@,NYM,"W, 9-4",9.0,5,4,4,0,1,8,0,14,2,0,0,42,15
121,CIN,2025-05-28,@,KCR,"L, 2-3",8.0,8,3,3,0,0,4,0,5,0,0,1,34,12
122,CLE,2025-05-28,,LAD,"W, 7-4",9.0,7,4,4,0,0,2,0,7,0,0,2,35,9
123,COL,2025-05-28,@,CHC,"L, 1-2",8.0,6,2,2,0,1,3,0,3,0,0,0,30,9
124,DET,2025-05-28,,SFG,"W, 4-3",9.0,10,3,3,0,1,4,0,8,0,0,0,40,14
125,MIA,2025-05-28,@,SDP,"W, 10-8",9.0,9,8,8,0,1,5,0,3,0,0,0,39,14
126,HOU,2025-05-28,,ATH,"W, 5-3",9.0,6,3,3,0,1,3,0,18,0,0,0,36,9
127,KCR,2025-05-28,,CIN,"W, 3-2",9.0,9,2,2,0,0,2,0,5,0,0,0,37,11
128,LAD,2025-05-28,@,CLE,"L, 4-7",8.0,15,7,7,0,1,4,1,9,0,1,0,40,19
129,MIL,2025-05-28,,BOS,"W, 6-5 (10)",10.0,9,5,4,1,2,5,1,13,1,0,1,45,16
130,MIN,2025-05-28,@,TBR,"L, 0-5",8.0,8,5,5,0,2,3,0,7,0,1,1,34,11
131,NYM,2025-05-28,,CHW,"L, 4-9",9.0,12,9,7,2,1,6,0,6,0,0,0,47,19
132,NYY,2025-05-28,@,LAA,"W, 1-0",9.0,5,0,0,0,0,2,0,8,0,0,1,33,7
133,ATH,2025-05-28,@,HOU,"L, 3-5",8.0,7,5,4,1,1,4,0,5,1,0,0,37,13
134,PIT,2025-05-28,@,ARI,"W, 10-1",9.0,6,1,1,0,1,1,0,11,1,0,0,36,9
135,SDP,2025-05-28,,MIA,"L, 8-10",9.0,13,10,7,3,3,1,0,5,1,0,1,41,15
136,SEA,2025-05-28,,WSN,"L, 0-9",9.0,12,9,9,0,4,4,0,6,1,0,0,43,18
137,SFG,2025-05-28,@,DET,"L, 3-4",8.0,7,4,1,3,0,2,0,16,2,0,0,36,12
138,STL,2025-05-28,@,BAL,"W, 6-4",9.0,12,4,4,0,0,2,0,9,0,0,0,41,14
139,TBR,2025-05-28,,MIN,"W, 5-0",9.0,6,0,0,0,0,1,0,7,1,0,0,34,8
140,TEX,2025-05-28,,TOR,"L, 0-2",9.0,8,2,2,0,1,3,0,9,0,0,0,37,11
141,TOR,2025-05-28,@,TEX,"W, 2-0",9.0,1,0,0,0,0,3,0,13,0,0,0,31,4
142,WSN,2025-05-28,@,SEA,"W, 9-0",9.0,5,0,0,0,0,0,0,4,0,0,0,31,5
143,LAA,2025-05-27,,NYY,"L, 2-3",9.0,6,3,2,1,2,5,1,7,0,0,1,38,12
144,ARI,2025-05-27,,PIT,"L, 6-9",9.0,12,9,8,1,2,5,0,8,1,0,0,45,19
145,ATL,2025-05-27,@,PHI,"L, 0-2",8.0,5,2,2,0,0,7,0,11,1,0,0,36,13
146,BAL,2025-05-27,,STL,"L, 4-7",9.0,14,7,7,0,2,2,0,9,0,0,0,42,16
147,BOS,2025-05-27,@,MIL,"L, 1-5 (10)",9.1,7,5,4,1,1,4,0,8,2,0,0,40,13
148,CHC,2025-05-27,,COL,"W, 4-3 (11)",11.0,7,3,2,1,1,3,0,8,1,0,0,42,11
149,CHW,2025-05-27,@,NYM,"L, 4-6",8.0,12,6,6,0,2,1,0,6,1,0,0,38,14
