Rk,Team,Date,Unnamed: 3,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR
1,LAA,2025-06-10,,ATH,"W, 2-1 (10)",10.0,4,1,1,0,0,2,0,14,0,0,0,36,6
2,ARI,2025-06-10,,SEA,"W, 10-3",9.0,12,3,3,0,2,5,0,7,0,0,0,42,17
3,ATL,2025-06-10,@,MIL,"L, 1-4",8.0,6,4,4,0,2,5,0,12,1,0,0,35,12
4,BAL,2025-06-10,,DET,"L, 3-5",9.0,12,5,5,0,1,1,0,9,0,0,0,39,13
5,BOS,2025-06-10,,TBR,"W, 3-1",9.0,3,1,0,1,0,3,0,7,0,0,0,32,6
6,CHC,2025-06-10,@,PHI,"W, 8-4",9.0,10,4,4,0,1,1,0,10,1,0,0,38,12
7,CHW,2025-06-10,@,HOU,"W, 4-2",9.0,9,2,2,0,0,3,0,6,0,0,0,36,12
8,CIN,2025-06-10,@,CLE,"W, 1-0",9.0,3,0,0,0,0,1,0,5,0,0,0,31,5
9,CLE,2025-06-10,,CIN,"L, 0-1",9.0,6,1,1,0,0,3,1,12,0,0,0,34,9
10,COL,2025-06-10,,SFG,"L, 5-6",9.0,7,6,6,0,2,6,0,10,2,0,1,42,15
11,DET,2025-06-10,@,BAL,"W, 5-3",9.0,6,3,3,0,1,1,0,11,2,0,1,36,10
12,MIA,2025-06-10,@,PIT,"W, 3-2",9.0,6,2,2,0,2,1,0,8,1,0,0,35,8
13,HOU,2025-06-10,,CHW,"L, 2-4",9.0,4,4,4,0,1,8,0,13,0,0,0,38,12
14,KCR,2025-06-10,,NYY,"L, 2-10",9.0,16,10,10,0,2,3,0,9,0,0,1,46,19
15,LAD,2025-06-10,@,SDP,"L, 1-11",8.0,16,11,10,1,1,5,0,6,2,0,2,46,23
16,MIL,2025-06-10,,ATL,"W, 4-1",9.0,8,1,1,0,0,0,0,10,0,0,0,34,8
17,MIN,2025-06-10,,TEX,"L, 4-16",9.0,17,16,14,2,2,4,0,4,1,0,2,51,24
18,NYM,2025-06-10,,WSN,"W, 5-4 (10)",10.0,8,4,4,0,2,4,0,11,1,0,1,40,13
19,NYY,2025-06-10,@,KCR,"W, 10-2",9.0,9,2,2,0,1,2,0,5,0,0,0,38,11
20,ATH,2025-06-10,@,LAA,"L, 1-2 (10)",9.2,7,2,1,1,1,3,1,6,1,0,0,38,11
21,PHI,2025-06-10,,CHC,"L, 4-8",9.0,13,8,8,0,4,5,0,7,0,0,0,44,18
22,PIT,2025-06-10,,MIA,"L, 2-3",9.0,8,3,3,0,1,0,0,7,0,0,1,35,8
23,SDP,2025-06-10,,LAD,"W, 11-1",9.0,6,1,1,0,0,7,0,12,0,0,0,39,13
24,SEA,2025-06-10,@,ARI,"L, 3-10",8.0,13,10,10,0,3,4,0,9,0,0,0,39,17
25,SFG,2025-06-10,@,COL,"W, 6-5",9.0,8,5,5,0,2,7,0,10,0,0,0,40,15
26,STL,2025-06-10,,TOR,"L, 9-10",9.0,16,10,10,0,2,0,0,5,0,0,1,42,17
27,TBR,2025-06-10,@,BOS,"L, 1-3",8.0,7,3,3,0,1,2,0,13,0,0,0,33,9
28,TEX,2025-06-10,@,MIN,"W, 16-4",9.0,12,4,4,0,1,2,0,4,0,0,0,38,14
29,TOR,2025-06-10,@,STL,"W, 10-9",9.0,12,9,9,0,3,2,0,4,1,0,0,41,15
