Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
1,LAA,2025-06-16,@,NYY,"W, 1-0 (11)",42,40,1,7,5,1,1,0,1,1,0,2,7,.175,.214,.250,.464,10,0,0,0,0,1,2025-06-16
2,BAL,2025-06-16,@,TBR,"L, 1-7",30,28,1,4,3,0,0,1,1,0,0,2,11,.143,.200,.250,.450,7,2,0,0,0,0,2025-06-16
3,BOS,2025-06-16,@,SEA,"W, 2-0",33,30,2,4,2,0,1,1,2,0,0,3,12,.133,.212,.300,.512,9,1,0,0,0,0,2025-06-16
4,COL,2025-06-16,@,WSN,"W, 6-4",35,34,6,8,3,1,1,3,6,2,0,1,7,.235,.257,.588,.845,20,1,0,0,0,0,2025-06-16
5,MIA,2025-06-16,,PHI,"L, 2-5",35,31,2,5,4,0,1,0,2,0,0,1,7,.161,.229,.226,.454,7,0,2,0,1,0,2025-06-16
6,HOU,2025-06-16,@,ATH,"L, 1-3",33,32,1,8,5,2,0,1,1,0,0,1,9,.250,.273,.406,.679,13,2,0,0,0,0,2025-06-16
7,LAD,2025-06-16,,SDP,"W, 6-3",38,35,6,10,7,3,0,0,6,2,0,2,12,.286,.342,.371,.714,13,0,1,0,0,0,2025-06-16
8,NYY,2025-06-16,,LAA,"L, 0-1 (11)",43,39,0,8,6,2,0,0,0,1,0,3,10,.205,.262,.256,.518,10,1,0,1,0,2,2025-06-16
9,ATH,2025-06-16,,HOU,"W, 3-1",32,29,3,6,4,0,0,2,3,0,0,2,10,.207,.281,.414,.695,12,1,1,0,0,0,2025-06-16
10,PHI,2025-06-16,@,MIA,"W, 5-2",40,37,5,10,4,3,1,2,5,0,0,2,6,.270,.325,.568,.893,21,0,1,0,0,0,2025-06-16
11,SDP,2025-06-16,@,LAD,"L, 3-6",35,32,3,6,3,2,0,1,3,0,0,2,7,.188,.229,.344,.572,11,0,0,0,1,0,2025-06-16
12,SEA,2025-06-16,,BOS,"L, 0-2",34,30,0,4,4,0,0,0,0,1,0,4,15,.133,.235,.133,.369,4,1,0,0,0,0,2025-06-16
13,TBR,2025-06-16,,BAL,"W, 7-1",39,35,7,14,8,4,0,2,7,0,0,2,10,.400,.447,.686,1.133,24,2,1,1,0,0,2025-06-16
