date,away_team,home_team,away_pitcher,home_pitcher,away_pitcher_id,home_pitcher_id
2025-06-19,MIN,CIN,Chris Paddack,Nick Martinez,35999,33372
2025-06-19,LAA,NYY,Tyler Anderson,Carlos Rodon,32151,33696
2025-06-19,COL,WSH,Chase Dollander,Trevor Williams,4719068,33305
2025-06-19,PIT,DET,Andrew Heaney,Tarik Skubal,32672,42409
2025-06-19,STL,CHW,Erick Fedde,Sean Burke,33793,4867679
2025-06-19,MIL,CHC,Jacob Misiorowski,Jameson Taillon,,31258
2025-06-19,KC,TEX,Michael Wacha,Shawn Armstrong,32640,33499
2025-06-19,ARI,TOR,Ryne Nelson,Kevin Gausman,4916269,32667
2025-06-19,CLE,SF,Gavin Williams,Logan Webb,4345076,41216
2025-06-19,STL,CHW,Michael McGreevy,Mike Vasil,4424141,4414551
2025-06-19,PIT,DET,Paul Skenes,Undecided,4719507,
2025-06-19,PHI,MIA,Cristopher Sanchez,Edward Cabrera,42359,40944
2025-06-19,NYM,ATL,Clay Holmes,Spencer Strider,32827,4307825
2025-06-19,BAL,TB,Charlie Morton,Drew Rasmussen,29155,42584
2025-06-19,HOU,ATH,Colton Gordon,Jacob Lopez,5133837,42239
2025-06-19,SD,LAD,Ryan Bergert,Yoshinobu Yamamoto,5196249,4872587
2025-06-20,SEA,CHC,George Kirby,Cade Horton,42406,4692526
2025-06-20,TEX,PIT,Jacob deGrom,Mike Burrows,32796,4918155
2025-06-20,BAL,NYY,Tomoyuki Sugano,Max Fried,4142423,32685
2025-06-20,DET,TB,Jack Flaherty,Shane Baz,33837,39639
2025-06-20,CHW,TOR,Davis Martin,Undecided,42823,
2025-06-20,ATL,MIA,Bryce Elder,Eury Perez,4301067,
2025-06-20,NYM,PHI,Undecided,Zack Wheeler,,31267
2025-06-20,CIN,STL,Brady Singer,Sonny Gray,41172,32082
2025-06-20,MIL,MIN,Freddy Peralta,Joe Ryan,39825,42450
2025-06-20,ARI,COL,Zac Gallen,Austin Gomber,39910,
2025-06-20,HOU,LAA,Hunter Brown,Yusei Kikuchi,4717803,41415
2025-06-20,KC,SD,Michael Lorenzen,Nick Pivetta,33252,36071
2025-06-20,CLE,ATH,Tanner Bibee,Jeffrey Springs,4345278,35397
2025-06-20,WSH,LAD,MacKenzie Gore,Clayton Kershaw,39636,28963
2025-06-20,BOS,SF,Hunter Dobbins,Hayden Birdsong,4415836,5197166
2025-06-21,DET,TB,Sawyer Gipson-Long,Ryan Pepiot,,4208281
2025-06-21,BAL,NYY,Zach Eflin,Clarke Schmidt,32804,41085
2025-06-21,MIL,MIN,Jose Quintana,Simeon Woods Richardson,32106,41383
2025-06-21,CIN,STL,Wade Miley,Andre Pallante,,4109034
2025-06-21,SEA,CHC,Emerson Hancock,Matthew Boyd,4297897,34401
2025-06-21,CHW,TOR,Aaron Civale,Jose Berrios,40934,32811
2025-06-21,TEX,PIT,Kumar Rocker,Mitch Keller,4414525,33722
2025-06-21,BOS,SF,Brayan Bello,Landen Roupp,4720856,4345404
2025-06-21,ATL,MIA,Grant Holmes,Sandy Alcantara,33840,35241
2025-06-21,NYM,PHI,Griffin Canning,Mick Abel,41065,4718970
2025-06-21,KC,SD,Noah Cameron,Dylan Cease,4417208,34943
2025-06-21,ARI,COL,Merrill Kelly,Carson Palmquist,32968,4621424
2025-06-21,HOU,LAA,Brandon Walter,Jose Soriano,4228724,40973
2025-06-21,CLE,ATH,Luis Ortiz,Mitch Spence,5101355,4987645
2025-06-21,WSH,LAD,Jake Irvin,Dustin May,41290,40937
