Game Date,Away Team,Home Team,Away Record,Home Record,Away Score,Home Score,Winning Pitcher,Winning IP,Winning H,Winning ER,Winning K,Winning BB,Losing Pitcher,Losing IP,Losing H,Losing ER,Losing K,Losing BB
2025-03-28,Colorado Rockies,Tampa Bay Rays,0-1,1-0,2,3,P. Fairbanks,1.0,0,0,2,2,V. Vodnik,1.0,1,1,1,0
2025-03-28,Baltimore Orioles,Toronto Blue Jays,1-1,1-1,2,8,K. Gausman,6.0,3,2,4,1,C. Morton,3.1,7,4,3,1
2025-03-28,Pittsburgh Pirates,Miami Marlins,1-1,1-1,4,3,M. Keller,6.0,5,1,4,1,C. Gillispie,5.0,4,3,4,4
2025-03-28,Boston Red Sox,Texas Rangers,1-1,1-1,1,4,J. Leiter,5.0,5,1,4,1,T. Houck,5.2,7,4,2,3
2025-03-28,New York Mets,Houston Astros,1-1,1-1,3,1,T. Megill,5.0,3,1,6,1,H. Brown,6.0,4,2,7,3
2025-03-28,Atlanta Braves,San Diego Padres,0-2,2-0,3,4,J. Adam,1.0,0,0,3,1,D. Lee,1.0,1,1,0,0
2025-03-28,Chicago Cubs,Arizona Diamondbacks,1-3,1-1,1,8,M. Kelly,5.1,3,1,1,4,J. Taillon,4.1,9,6,1,0
2025-03-28,Athletics,Seattle Mariners,1-1,1-1,7,0,J. Springs,6.0,3,0,9,1,L. Castillo,5.0,3,2,4,2
2025-03-28,Detroit Tigers,Los Angeles Dodgers,0-2,4-0,5,8,L. Garcia,1.0,1,1,0,1,B. Brieske,0.1,4,4,0,0
2025-03-29,Milwaukee Brewers,New York Yankees,0-2,2-0,9,20,Y. Gomez,1.1,1,0,1,0,N. Cortes,2.0,6,8,2,5
2025-03-29,Los Angeles Angels,Chicago White Sox,1-1,1-1,1,0,J. Soriano,7.0,2,0,5,2,M. Clevinger,1.0,1,1,0,1
2025-03-29,Minnesota Twins,St. Louis Cardinals,0-2,2-0,1,5,E. Fedde,6.0,2,1,2,0,J. Alcala,0.0,2,3,0,1
2025-03-29,Baltimore Orioles,Toronto Blue Jays,2-1,1-2,9,5,D. Kremer,5.1,5,5,6,2,R. Lovelady,1.0,2,4,2,1
2025-03-29,Philadelphia Phillies,Washington Nationals,2-0,0-2,11,6,J. Luzardo,5.0,5,2,11,2,C. Poche,0.1,1,3,1,2
2025-03-29,Colorado Rockies,Tampa Bay Rays,1-1,1-1,2,1,L. Peralta,0.2,0,0,1,1,Z. Littell,6.0,4,1,7,0
2025-03-29,Pittsburgh Pirates,Miami Marlins,1-2,2-1,4,5,G. Soriano,1.0,2,0,1,0,J. Wentz,2.0,2,0,1,2
2025-03-29,San Francisco Giants,Cincinnati Reds,1-1,1-1,2,3,N. Lodolo,6.0,5,2,1,0,S. Bivens,1.0,2,1,1,0
2025-03-29,Cleveland Guardians,Kansas City Royals,1-1,1-1,3,4,D. Lynch IV,2.0,0,0,0,0,P. Sewald,0.2,2,2,1,0
2025-03-29,Boston Red Sox,Texas Rangers,1-2,2-1,3,4,H. Milner,1.1,1,0,1,1,W. Buehler,4.1,7,4,3,0
2025-03-29,New York Mets,Houston Astros,1-2,2-1,1,2,S. Arrighetti,6.0,1,1,5,2,G. Canning,5.2,4,2,4,2
2025-03-29,Atlanta Braves,San Diego Padres,0-3,3-0,0,1,W. Peralta,1.1,0,0,1,0,A. Bummer,0.2,1,1,2,1
2025-03-29,Chicago Cubs,Arizona Diamondbacks,2-3,1-2,4,3,S. Imanaga,7.0,3,1,4,2,B. Pfaadt,6.0,6,3,5,1
2025-03-29,Detroit Tigers,Los Angeles Dodgers,0-3,5-0,3,7,A. Banda,1.0,0,0,2,0,R. Olson,4.2,4,4,5,2
2025-03-29,Athletics,Seattle Mariners,2-1,1-2,4,2,O. Bido,5.0,3,1,4,4,B. Miller,5.2,6,3,4,2
2025-03-30,Milwaukee Brewers,New York Yankees,0-3,3-0,3,12,T. Hill,1.1,0,0,3,0,A. Civale,3.0,4,5,2,1
