date,pitcher_name,pitcher_key,team,opponent,Home,K_last3,IP_last3,ER_last3,BB_last3,BF_last3
2025-03-28,A.J. Minter,a.j. minter,NYM,HOU,1,,,,,
2025-04-02,A.J. Minter,a.j. minter,NYM,MIA,1,,,,,
2025-04-04,A.J. Minter,a.j. minter,NYM,TOR,1,,,,,
2025-04-06,A.J. Minter,a.j. minter,NYM,TOR,1,5.0,2.6666666666666665,2.0,1.0,12.0
2025-04-08,A.J. Minter,a.j. minter,NYM,MIA,1,6.0,2.6666666666666665,2.0,0.0,12.0
2025-04-11,A.J. Minter,a.j. minter,NYM,ATH,1,6.0,2.6666666666666665,0.0,0.0,10.0
2025-04-13,A.J. Minter,a.j. minter,NYM,ATH,1,4.0,2.6666666666666665,0.0,0.0,9.0
2025-04-16,A.J. Minter,a.j. minter,NYM,MIN,1,3.0,2.6666666666666665,0.0,0.0,9.0
2025-04-17,A.J. Minter,a.j. minter,NYM,STL,1,4.0,3.0,0.0,0.0,10.0
2025-04-19,A.J. Minter,a.j. minter,NYM,STL,1,3.0,3.0,0.0,0.0,10.0
2025-04-22,A.J. Minter,a.j. minter,NYM,PHI,1,2.0,3.0,0.0,3.0,12.0
2025-04-25,A.J. Minter,a.j. minter,NYM,WSN,1,1.0,3.0,0.0,3.0,12.0
2025-04-26,A.J. Minter,a.j. minter,NYM,WSN,1,1.0,2.3333333333333335,0.0,3.0,11.0
2025-03-30,A.J. Puk,a.j. puk,ARI,CHC,1,,,,,
2025-04-01,A.J. Puk,a.j. puk,ARI,NYY,1,,,,,
2025-04-02,A.J. Puk,a.j. puk,ARI,NYY,1,,,,,
2025-04-04,A.J. Puk,a.j. puk,ARI,WSN,1,5.0,3.0,2.0,1.0,13.0
2025-04-08,A.J. Puk,a.j. puk,ARI,BAL,1,4.0,3.0,2.0,0.0,12.0
2025-04-13,A.J. Puk,a.j. puk,ARI,MIL,1,3.0,3.0,1.0,0.0,12.0
2025-04-16,A.J. Puk,a.j. puk,ARI,MIA,1,5.0,3.0,0.0,1.0,13.0
2025-04-17,A.J. Puk,a.j. puk,ARI,MIA,1,5.0,3.0,1.0,1.0,14.0
2025-05-24,Aaron Ashby,aaron ashby,MIL,PIT,1,,,,,
2025-05-27,Aaron Ashby,aaron ashby,MIL,BOS,1,,,,,
2025-06-06,Aaron Ashby,aaron ashby,MIL,SDP,1,,,,,
2025-06-06,Aaron Ashby,aaron ashby,MIL,SDP,1,7.0,4.0,0.0,1.0,15.0
2025-03-27,Aaron Bummer,aaron bummer,ATL,SDP,1,,,,,
2025-03-29,Aaron Bummer,aaron bummer,ATL,SDP,1,,,,,
2025-04-04,Aaron Bummer,aaron bummer,ATL,MIA,1,,,,,
2025-04-09,Aaron Bummer,aaron bummer,ATL,PHI,1,4.0,2.6666666666666665,2.0,2.0,14.0
2025-04-10,Aaron Bummer,aaron bummer,ATL,PHI,1,6.0,3.0,2.0,1.0,13.0
2025-04-14,Aaron Bummer,aaron bummer,ATL,TOR,1,5.0,3.333333333333333,1.0,2.0,14.0
2025-04-18,Aaron Bummer,aaron bummer,ATL,MIN,1,5.0,3.6666666666666665,2.0,2.0,16.0
2025-04-22,Aaron Bummer,aaron bummer,ATL,STL,1,4.0,3.666666666666666,1.0,2.0,16.0
2025-04-25,Aaron Bummer,aaron bummer,ATL,ARI,1,6.0,4.666666666666666,1.0,0.0,18.0
2025-04-27,Aaron Bummer,aaron bummer,ATL,ARI,1,5.0,4.333333333333333,0.0,0.0,14.0
2025-05-03,Aaron Bummer,aaron bummer,ATL,LAD,1,4.0,3.6666666666666665,2.0,1.0,15.0
2025-05-07,Aaron Bummer,aaron bummer,ATL,CIN,1,3.0,3.6666666666666665,2.0,1.0,17.0
2025-05-09,Aaron Bummer,aaron bummer,ATL,PIT,1,4.0,4.333333333333333,2.0,2.0,20.0
2025-05-11,Aaron Bummer,aaron bummer,ATL,PIT,1,6.0,4.666666666666666,0.0,1.0,18.0
2025-05-14,Aaron Bummer,aaron bummer,ATL,WSN,1,4.0,3.6666666666666665,0.0,2.0,13.0
2025-05-17,Aaron Bummer,aaron bummer,ATL,BOS,1,2.0,2.6666666666666665,0.0,1.0,12.0
2025-05-20,Aaron Bummer,aaron bummer,ATL,WSN,1,0.0,2.0,2.0,1.0,12.0
2025-05-22,Aaron Bummer,aaron bummer,ATL,WSN,1,0.0,2.6666666666666665,2.0,1.0,14.0
2025-05-29,Aaron Bummer,aaron bummer,ATL,PHI,1,2.0,3.333333333333333,2.0,1.0,14.0
2025-06-01,Aaron Bummer,aaron bummer,ATL,BOS,1,4.0,4.333333333333333,0.0,1.0,16.0
2025-06-04,Aaron Bummer,aaron bummer,ATL,ARI,1,9.0,4.666666666666666,0.0,0.0,17.0
