Date,Team,Opponent,Pitcher,Predicted K,Confidence,Model Pick,Actual K,Result
2025-04-05,ATL,MIA,AJ Smith-Shawver,5.46,0.96,Over,6,HIT
2025-04-12,ATL,TBR,AJ Smith-Shawver,5.42,0.92,Over,7,HIT
2025-04-29,ATL,COL,AJ Smith-Shawver,5.82,1.32,Over,5,HIT
2025-05-05,ATL,CIN,AJ Smith-Shawver,6.01,1.51,Over,5,HIT
2025-05-10,ATL,PIT,AJ Smith-Shawver,5.97,1.47,Over,7,HIT
2025-05-15,ATL,WSN,AJ Smith-Shawver,5.79,1.29,Over,6,HIT
2025-05-22,MIL,PIT,Aaron Civale,2.11,2.39,Under,3,HIT
2025-05-27,MIL,BOS,Aaron Civale,2.93,1.57,Under,4,HIT
2025-06-02,MIL,CIN,Aaron Civale,3.58,0.92,Under,5,MISS
2025-06-09,MIL,ATL,Aaron Civale,4.96,0.46,Over,5,HIT
2025-06-15,CHW,TEX,Aaron Civale,4.68,0.18,Over,4,MISS
2025-04-05,PHI,LAD,Aaron Nola,5.26,0.76,Over,2,MISS
2025-04-11,PHI,STL,Aaron Nola,5.82,1.32,Over,7,HIT
2025-04-16,PHI,SFG,Aaron Nola,5.87,1.37,Over,8,HIT
2025-04-21,PHI,NYM,Aaron Nola,6.78,2.28,Over,6,HIT
2025-04-27,PHI,CHC,Aaron Nola,6.44,1.94,Over,6,HIT
2025-05-03,PHI,ARI,Aaron Nola,6.65,2.15,Over,8,HIT
2025-05-09,PHI,CLE,Aaron Nola,6.06,1.56,Over,5,HIT
2025-05-14,PHI,STL,Aaron Nola,4.84,0.34,Over,2,MISS
2025-06-18,MIA,PHI,Adam Mazur,3.91,0.59,Under,5,MISS
2025-05-26,CHW,NYM,Adrian Houser,3.65,0.85,Under,6,MISS
2025-06-01,CHW,BAL,Adrian Houser,4.98,0.48,Over,6,HIT
2025-06-07,CHW,KCR,Adrian Houser,6.26,1.76,Over,6,HIT
2025-06-13,CHW,TEX,Adrian Houser,4.93,0.43,Over,2,MISS
2025-04-06,STL,BOS,Andre Pallante,4.33,0.17,Under,6,MISS
2025-04-11,STL,PHI,Andre Pallante,4.73,0.23,Over,4,MISS
2025-04-17,STL,NYM,Andre Pallante,3.73,0.77,Under,2,HIT
2025-04-22,STL,ATL,Andre Pallante,2.37,2.13,Under,1,HIT
2025-04-28,STL,CIN,Andre Pallante,2.36,2.14,Under,4,HIT
2025-05-10,STL,WSN,Andre Pallante,3.85,0.65,Under,7,MISS
2025-05-16,STL,KCR,Andre Pallante,3.86,0.64,Under,4,HIT
2025-05-21,STL,DET,Andre Pallante,3.74,0.76,Under,3,HIT
2025-05-27,STL,BAL,Andre Pallante,4.97,0.47,Over,7,HIT
