PlayerID,Pitcher,FullName,CleanName
33839,K. Freeland,KyleFreeland,kylefreeland
34166,T. Kinley,TylerKinley,tylerkinley
5185106,A. Chivilli,AngelChivilli,angelchivilli
4722599,V. Vodnik,VictorVodnik,victorvodnik
4208281,R. Pepiot,RyanPepiot,ryanpepiot
4987389,H. Bigge,HunterBigge,hunterbigge
4424112,M. Montgomery,MasonMontgomery,masonmontgomery
42180,P. Fairbanks,PeteFairbanks,petefairbanks
29155,C. Morton,CharlieMorton,charliemorton
31109,A. Suarez,AlbertSuarez,albertsuarez
36089,C. Perez,CionelPerez,cionelperez
39804,G. Soto,GregorySoto,gregorysoto
32667,K. Gausman,KevinGausman,kevingausman
32888,Y. Garcia,YimiGarcia,yimigarcia
39645,B. Little,BrendonLittle,brendonlittle
41385,N. Sandlin,NickSandlin,nicksandlin
33722,M. Keller,MitchKeller,mitchkeller
41017,C. Ferguson,CalebFerguson,calebferguson
36192,R. Borucki,RyanBorucki,ryanborucki
38303,D. Bednar,DavidBednar,davidbednar
5201596,C. Gillispie,ConnorGillispie,connorgillispie
41247,T. Phillips,TylerPhillips,tylerphillips
5134022,A. Veneziano,AnthonyVeneziano,anthonyveneziano
41009,T. Houck,TannerHouck,tannerhouck
41485,G. Weissert,GregWeissert,gregweissert
35876,B. Bernardino,BrennanBernardino,brennanbernardino
4622181,J. Leiter,JackLeiter,jackleiter
33499,S. Armstrong,ShawnArmstrong,shawnarmstrong
4999877,M. Church,MarcChurch,marcchurch
36088,H. Milner,HobyMilner,hobymilner
40384,J. Webb,JacobWebb,jacobwebb
31749,L. Jackson,LukeJackson,lukejackson
3332018,T. Megill,TylorMegill,tylormegill
36526,R. Garrett,ReedGarrett,reedgarrett
36133,A.J. Minter,A.J.Minter,a.j.minter
33301,R. Stanek,RyneStanek,rynestanek
35394,E. Diaz,EdwinDiaz,edwindiaz
4717803,H. Brown,HunterBrown,hunterbrown
33716,S. Okert,StevenOkert,stevenokert
39711,T. Scott,TaylerScott,taylerscott
5201821,B. King,BryanKing,bryanking
5015727,L. Contreras,LuisContreras,luiscontreras
33860,R. Lopez,ReynaldoLopez,reynaldolopez
32777,P. Johnson,PierceJohnson,piercejohnson
41455,D. Lee,DylanLee,dylanlee
4722960,D. Hernandez,DaysbelHernandez,daysbelhernandez
34943,D. Cease,DylanCease,dylancease
40917,A. Morejon,AdrianMorejon,adrianmorejon
41014,J. Estrada,JeremiahEstrada,jeremiahestrada
32145,J. Adam,JasonAdam,jasonadam
4148749,R. Suarez,RobertSuarez,robertsuarez
31258,J. Taillon,JamesonTaillon,jamesontaillon
41324,E. Morgan,EliMorgan,elimorgan
35292,B. Keller,BradKeller,bradkeller
32968,M. Kelly,MerrillKelly,merrillkelly
38628,R. Thompson,RyanThompson,ryanthompson
