AbbrName,FullName
J. Verlander,Justin Verlander
N. Eovaldi,Nathan Eovaldi
Z. Wheeler,Zack Wheeler
C. Sale,Chris Sale
J. deGrom,Jacob deGrom
M. Kelly,Merrill Kelly
R. Ray,Robbie Ray
J. Taillon,Jameson Taillon
K. Hendricks,Kyle Hendricks
C. Bassitt,Chris Bassitt
S. Lugo,Seth Lugo
N. Martinez,Nick Martinez
S. Gray,Sonny Gray
T. Anderson,Tyler Anderson
E. Rodriguez,Eduardo Rodriguez
C. Holmes,Clay Holmes
M. Fried,Max Fried
M. Wacha,Michael Wacha
K. Gausman,Kevin Gausman
J. Berrios,Jose Berrios
M. Lorenzen,Michael Lorenzen
B. Lively,Ben Lively
A. Heaney,Andrew Heaney
M. Boyd,Matthew Boyd
N. Pivetta,Nick Pivetta
A. Senzatela,Antonio Senzatela
L. Castillo,Luis Castillo
Z. Littell,Zack Littell
L. Severino,Luis Severino
C. Rodon,Carlos Rodon
A. Nola,Aaron Nola
K. Freeland,Kyle Freeland
T. Mahle,Tyler Mahle
G. Holmes,Grant Holmes
T. Williams,Trevor Williams
F. Valdez,Framber Valdez
E. Fedde,Erick Fedde
J. Flaherty,Jack Flaherty
M. Keller,Mitch Keller
J. Springs,Jeffrey Springs
L. Webb,Logan Webb
D. Cease,Dylan Cease
F. Peralta,Freddy Peralta
Z. Gallen,Zac Gallen
D. Kremer,Dean Kremer
C. Burnes,Corbin Burnes
W. Buehler,Walker Buehler
J. Hicks,Jordan Hicks
M. King,Michael King
G. Canning,Griffin Canning
T. Houck,Tanner Houck
J. Luzardo,Jesus Luzardo
B. Falter,Bailey Falter
D. Peterson,David Peterson
C. Mize,Casey Mize
B. Francis,Bowden Francis
Y. Kikuchi,Yusei Kikuchi
C. Sanchez,Cristopher Sanchez
B. Ober,Bailey Ober
T. Megill,Tylor Megill
J. Ryan,Joe Ryan
R. Feltner,Ryan Feltner
D. Martin,Davis Martin
K. Bubic,Kris Bubic
J. Irvin,Jake Irvin
C. Ragans,Cole Ragans
J. Soriano,Jose Soriano
H. Greene,Hunter Greene
M. Gore,MacKenzie Gore
L. Gilbert,Logan Gilbert
S. Baz,Shane Baz
T. Skubal,Tarik Skubal
M. Liberatore,Matthew Liberatore
T. Bradley,Taj Bradley
O. Bido,Osvaldo Bido
J. Sears,JP Sears
R. Vasquez,Randy Vasquez
R. Olson,Reese Olson
B. Singer,Brady Singer
D. Rasmussen,Drew Rasmussen
H. Brown,Hunter Brown
A. Pallante,Andre Pallante
R. Pepiot,Ryan Pepiot
N. Lodolo,Nick Lodolo
G. Crochet,Garrett Crochet
M. Meyer,Max Meyer
L. Allen,Logan Allen
M. Parker,Mitchell Parker
L. L. Ortiz,Luis L. Ortiz
J. Kochanowicz,Jack Kochanowicz
B. Pfaadt,Brandon Pfaadt
B. Miller,Bryce Miller
L. Roupp,Landen Roupp
C. Patrick,Chad Patrick
G. Williams,Gavin Williams
T. Bibee,Tanner Bibee
B. Woo,Bryan Woo
S. Smith,Shane Smith
J. Cannon,Jonathan Cannon
K. Senga,Kodai Senga
S. Schwellenbach,Spencer Schwellenbach
P. Skenes,Paul Skenes
Y. Yamamoto,Yoshinobu Yamamoto
S. Imanaga,Shota Imanaga
T. Sugano,Tomoyuki Sugano
R. Sasaki,Roki Sasaki
