Pitcher,Team,Opponent,HomeAway,FinalScore,GameID,GameDate,IP,H,R,ER,BB,K,HR,PC-ST,ERA
"Z. Eflin(W, 1-0)",Orioles,Blue Jays,Away,Unknown,401694909,2025-03-27,6.0,2,2,2,1,2,1,78-49,3.00
S. Dominguez,Orioles,Blue Jays,Away,Unknown,401694909,2025-03-27,1.0,1,0,0,2,0,0,23-11,0.00
K. Akin,Orioles,Blue Jays,Away,Unknown,401694909,2025-03-27,1.0,0,0,0,2,0,0,12-4,0.00
B. Baker,Orioles,Blue Jays,Away,Unknown,401694909,2025-03-27,1.0,1,0,0,0,1,0,16-12,0.00
"J. Berrios(L, 0-1)",Blue Jays,Orioles,Home,Unknown,401694909,2025-03-27,5.0,9,6,6,2,5,3,90-59,10.80
R. Lovelady,Blue Jays,Orioles,Home,Unknown,401694909,2025-03-27,0.2,0,0,0,1,1,0,21-12,0.00
J. Barnes,Blue Jays,Orioles,Home,Unknown,401694909,2025-03-27,1.0,1,2,2,1,0,0,24-13,18.00
C. Green,Blue Jays,Orioles,Home,Unknown,401694909,2025-03-27,0.1,1,1,1,0,1,1,8-6,27.00
Y. Rodriguez,Blue Jays,Orioles,Home,Unknown,401694909,2025-03-27,1.0,3,3,3,1,1,2,36-21,27.00
N. Sandlin,Blue Jays,Orioles,Home,Unknown,401694909,2025-03-27,1.0,0,0,0,0,0,0,14-10,0.00
"F. Peralta(L, 0-1)",Brewers,Yankees,Away,Unknown,401694911,2025-03-27,5.0,4,2,2,1,8,2,93-58,3.60
B. Hudson,Brewers,Yankees,Away,Unknown,401694911,2025-03-27,1.0,0,0,0,2,1,0,24-12,0.00
J. Koenig,Brewers,Yankees,Away,Unknown,401694911,2025-03-27,0.2,2,2,2,1,0,0,21-10,27.00
J. Payamps,Brewers,Yankees,Away,Unknown,401694911,2025-03-27,0.1,0,0,0,0,0,0,2-2,0.00
T. Alexander,Brewers,Yankees,Away,Unknown,401694911,2025-03-27,1.0,1,0,0,0,1,0,16-12,0.00
"C. Rodon(W, 1-0)",Yankees,Brewers,Home,Unknown,401694911,2025-03-27,5.1,4,1,1,2,7,1,89-58,1.69
"T. Hill(H, 1)",Yankees,Brewers,Home,Unknown,401694911,2025-03-27,0.2,1,0,0,0,0,0,19-14,0.00
"M. Leiter Jr.(H, 1)",Yankees,Brewers,Home,Unknown,401694911,2025-03-27,1.0,0,0,0,0,2,0,12-9,0.00
"L. Weaver(H, 1)",Yankees,Brewers,Home,Unknown,401694911,2025-03-27,1.0,0,0,0,1,2,0,19-11,0.00
"D. Williams(S, 1)",Yankees,Brewers,Home,Unknown,401694911,2025-03-27,1.0,2,1,1,1,2,0,36-21,9.00
Z. Wheeler,Phillies,Nationals,Away,Unknown,401694912,2025-03-27,6.0,2,1,1,2,8,1,97-65,1.50
"O. Kerkering(H, 1)",Phillies,Nationals,Away,Unknown,401694912,2025-03-27,1.0,2,0,0,0,1,0,12-10,0.00
"J. Romano(B, 1)",Phillies,Nationals,Away,Unknown,401694912,2025-03-27,1.0,1,2,2,1,1,0,29-15,18.00
"J. Alvarado(W, 1-0)",Phillies,Nationals,Away,Unknown,401694912,2025-03-27,1.0,0,0,0,0,2,0,14-8,0.00
M. Strahm,Phillies,Nationals,Away,Unknown,401694912,2025-03-27,1.0,0,0,0,0,1,0,19-13,0.00
M. Gore,Nationals,Phillies,Home,Unknown,401694912,2025-03-27,6.0,1,0,0,0,13,0,93-66,0.00
"L. Sims(B, 1)",Nationals,Phillies,Home,Unknown,401694912,2025-03-27,0.2,1,1,1,0,1,1,12-8,13.50
J. Ferrer,Nationals,Phillies,Home,Unknown,401694912,2025-03-27,1.1,3,2,2,1,3,1,34-22,13.50
K. Finnegan,Nationals,Phillies,Home,Unknown,401694912,2025-03-27,1.0,1,0,0,2,1,0,23-11,0.00
"C. Poche(L, 0-1)",Nationals,Phillies,Home,Unknown,401694912,2025-03-27,0.2,1,4,3,2,1,0,19-8,40.50
E. Salazar,Nationals,Phillies,Home,Unknown,401694912,2025-03-27,0.1,1,0,0,1,0,0,12-8,0.00
P. Skenes,Pirates,Marlins,Away,Unknown,401694913,2025-03-27,5.1,3,2,2,2,7,0,94-64,3.38
"D. Santana(H, 1)",Pirates,Marlins,Away,Unknown,401694913,2025-03-27,0.1,0,0,0,2,1,0,18-9,0.00
"R. Borucki(H, 1)",Pirates,Marlins,Away,Unknown,401694913,2025-03-27,0.1,0,0,0,0,1,0,7-4,0.00
"C. Ferguson(H, 1)",Pirates,Marlins,Away,Unknown,401694913,2025-03-27,1.0,0,0,0,0,1,0,17-10,0.00
"C. Holderman(B, 1)",Pirates,Marlins,Away,Unknown,401694913,2025-03-27,1.0,2,2,2,2,1,0,37-23,18.00
"D. Bednar(L, 0-1)",Pirates,Marlins,Away,Unknown,401694913,2025-03-27,0.0,2,1,1,1,0,0,8-6,INF
S. Alcantara,Marlins,Pirates,Home,Unknown,401694913,2025-03-27,4.2,2,2,2,4,7,0,91-57,3.86
L. Bachar,Marlins,Pirates,Home,Unknown,401694913,2025-03-27,1.1,1,2,2,0,2,1,25-15,13.50
G. Soriano,Marlins,Pirates,Home,Unknown,401694913,2025-03-27,2.0,0,0,0,2,1,0,34-17,0.00
"J. Tinoco(W, 1-0)",Marlins,Pirates,Home,Unknown,401694913,2025-03-27,1.0,1,0,0,1,1,0,26-12,0.00
L. Webb,Giants,Reds,Away,Unknown,401694914,2025-03-27,5.0,6,3,3,3,5,0,78-46,5.40
R. Rodriguez,Giants,Reds,Away,Unknown,401694914,2025-03-27,1.0,1,0,0,0,2,0,19-12,0.00
E. Miller,Giants,Reds,Away,Unknown,401694914,2025-03-27,1.0,0,0,0,0,1,0,12-9,0.00
"T. Rogers(W, 1-0)",Giants,Reds,Away,Unknown,401694914,2025-03-27,1.0,0,0,0,1,0,0,12-6,0.00
"R. Walker(S, 1)",Giants,Reds,Away,Unknown,401694914,2025-03-27,1.0,1,1,1,0,0,0,14-9,9.00
H. Greene,Reds,Giants,Home,Unknown,401694914,2025-03-27,5.0,3,2,2,1,8,1,84-59,3.60
"S. Barlow(H, 1)",Reds,Giants,Home,Unknown,401694914,2025-03-27,1.0,0,0,0,0,2,0,14-7,0.00
"E. Pagan(H, 1)",Reds,Giants,Home,Unknown,401694914,2025-03-27,1.0,0,0,0,0,2,0,15-12,0.00
"T. Santillan(H, 1)",Reds,Giants,Home,Unknown,401694914,2025-03-27,1.0,0,0,0,0,2,0,15-10,0.00
"I. Gibaut(L, 0-1, B, 1)",Reds,Giants,Home,Unknown,401694914,2025-03-27,0.2,3,4,4,1,2,1,27-16,54.00
S. Moll,Reds,Giants,Home,Unknown,401694914,2025-03-27,0.1,0,0,0,0,1,0,3-3,0.00
"Y. Kikuchi(L, 0-1)",Angels,White Sox,Away,Unknown,401694915,2025-03-27,6.0,5,3,3,0,5,1,87-58,4.50
R. Johnson,Angels,White Sox,Away,Unknown,401694915,2025-03-27,1.2,4,5,5,1,1,2,35-20,27.00
N. Lopez,Angels,White Sox,Away,Unknown,401694915,2025-03-27,0.1,0,0,0,1,0,0,8-3,0.00
"S. Burke(W, 1-0)",White Sox,Angels,Home,Unknown,401694915,2025-03-27,6.0,3,0,0,0,3,0,73-49,0.00
"P. Murfee(H, 1)",White Sox,Angels,Home,Unknown,401694915,2025-03-27,1.0,0,0,0,0,3,0,19-10,0.00
"J. Leasure(H, 1)",White Sox,Angels,Home,Unknown,401694915,2025-03-27,0.2,1,0,0,1,0,0,16-7,0.00
"M. Clevinger(H, 1)",White Sox,Angels,Home,Unknown,401694915,2025-03-27,0.1,0,0,0,1,1,0,15-8,0.00
C. Booser,White Sox,Angels,Home,Unknown,401694915,2025-03-27,1.0,1,1,1,0,3,1,18-12,9.00
G. Crochet,Red Sox,Rangers,Away,Unknown,401694916,2025-03-27,5.0,5,2,2,2,4,0,88-61,3.60
G. Whitlock,Red Sox,Rangers,Away,Unknown,401694916,2025-03-27,2.0,1,0,0,0,1,0,23-15,0.00
"A. Chapman(W, 1-0)",Red Sox,Rangers,Away,Unknown,401694916,2025-03-27,1.0,1,0,0,0,1,0,11-7,0.00
"J. Slaten(S, 1)",Red Sox,Rangers,Away,Unknown,401694916,2025-03-27,1.0,0,0,0,0,1,0,13-9,0.00
N. Eovaldi,Rangers,Red Sox,Home,Unknown,401694916,2025-03-27,6.0,3,2,2,0,9,1,87-60,3.00
R. Garcia,Rangers,Red Sox,Home,Unknown,401694916,2025-03-27,0.2,0,0,0,2,0,0,24-14,0.00
C. Martin,Rangers,Red Sox,Home,Unknown,401694916,2025-03-27,1.1,1,0,0,0,2,0,16-13,0.00
"L. Jackson(L, 0-1)",Rangers,Red Sox,Home,Unknown,401694916,2025-03-27,0.1,2,3,3,1,1,1,21-11,81.00
S. Armstrong,Rangers,Red Sox,Home,Unknown,401694916,2025-03-27,0.2,0,0,0,0,1,0,5-5,0.00
B. Lively,Guardians,Royals,Away,Unknown,401694917,2025-03-27,5.0,4,3,3,0,3,1,67-49,5.40
"C. Smith(H, 1)",Guardians,Royals,Away,Unknown,401694917,2025-03-27,1.0,0,0,0,0,2,0,15-11,0.00
"T. Herrin(H, 1)",Guardians,Royals,Away,Unknown,401694917,2025-03-27,1.0,0,0,0,0,2,0,11-8,0.00
"H. Gaddis(H, 1)",Guardians,Royals,Away,Unknown,401694917,2025-03-27,1.0,0,0,0,1,1,0,20-13,0.00
"E. Clase(W, 1-0, B, 1)",Guardians,Royals,Away,Unknown,401694917,2025-03-27,1.0,3,1,1,0,1,0,18-14,9.00
"P. Sewald(S, 1)",Guardians,Royals,Away,Unknown,401694917,2025-03-27,1.0,0,0,0,0,1,0,11-7,0.00
C. Ragans,Royals,Guardians,Home,Unknown,401694917,2025-03-27,5.0,5,3,3,2,3,0,83-55,5.40
"A. Zerpa(B, 1)",Royals,Guardians,Home,Unknown,401694917,2025-03-27,1.1,3,1,1,0,0,1,19-14,6.75
L. Erceg,Royals,Guardians,Home,Unknown,401694917,2025-03-27,0.2,0,0,0,0,0,0,10-7,0.00
H. Harvey,Royals,Guardians,Home,Unknown,401694917,2025-03-27,1.0,0,0,0,0,1,0,7-5,0.00
C. Estevez,Royals,Guardians,Home,Unknown,401694917,2025-03-27,1.0,0,0,0,0,1,0,14-8,0.00
"S. Long(L, 0-1)",Royals,Guardians,Home,Unknown,401694917,2025-03-27,1.0,2,3,2,1,0,0,19-14,18.00
"P. Lopez(L, 0-1)",Twins,Cardinals,Away,Unknown,401694918,2025-03-27,5.0,8,4,2,0,3,1,87-57,3.60
L. Varland,Twins,Cardinals,Away,Unknown,401694918,2025-03-27,1.0,1,0,0,0,0,0,12-8,0.00
