team_id,full_name
ARI,Arizona Diamondbacks
ATL,Atlanta Braves
BAL,Baltimore Orioles
BOS,Boston Red Sox
CHC,Chicago Cubs
CHW,Chicago White Sox
CIN,Cincinnati Reds
CLE,Cleveland Guardians
COL,Colorado Rockies
DET,Detroit Tigers
HOU,Houston Astros
KCR,Kansas City Royals
LAA,Los Angeles Angels
LAD,Los Angeles Dodgers
MIA,Miami Marlins
MIL,Milwaukee Brewers
MIN,Minnesota Twins
NYM,New York Mets
NYY,New York Yankees
OAK,Oakland Athletics
ATH,Oakland Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SDP,San Diego Padres
SEA,Seattle Mariners
SFG,San Francisco Giants
STL,St. Louis Cardinals
TBR,Tampa Bay Rays
TEX,Texas Rangers
TOR,Toronto Blue Jays
WSN,Washington Nationals
